comuna,candidato,votos,porcentaje
"SAN CARLOS","3. SEBASTIAN SICHEL RAMIREZ",1852,50.48
"SAN CARLOS","4. MARIO DESBORDES JIMENEZ",378,10.3
"SAN CARLOS","5. GABRIEL BORIC FONT",1837,69.93
"SAN CARLOS","6. DANIEL JADUE JADUE",790,30.07
"SAN BERNARDO","1. JOAQUIN LAVIN INFANTE",4933,31.06
"SAN BERNARDO","2. IGNACIO BRIONES ROJAS",1183,7.45
"SAN BERNARDO","3. SEBASTIAN SICHEL RAMIREZ",7872,49.57
"SAN BERNARDO","4. MARIO DESBORDES JIMENEZ",1893,11.92
"SAN BERNARDO","5. GABRIEL BORIC FONT",16082,56.57
"SAN BERNARDO","6. DANIEL JADUE JADUE",12345,43.43
"SAN ANTONIO","1. JOAQUIN LAVIN INFANTE",1318,31.15
"SAN ANTONIO","2. IGNACIO BRIONES ROJAS",285,6.74
"SAN ANTONIO","3. SEBASTIAN SICHEL RAMIREZ",2114,49.96
"SAN ANTONIO","4. MARIO DESBORDES JIMENEZ",514,12.15
"SAN ANTONIO","5. GABRIEL BORIC FONT",5441,50.86
"SAN ANTONIO","6. DANIEL JADUE JADUE",5257,49.14
SALAMANCA,"1. JOAQUIN LAVIN INFANTE",322,29.25
SALAMANCA,"2. IGNACIO BRIONES ROJAS",89,8.08
SALAMANCA,"3. SEBASTIAN SICHEL RAMIREZ",553,50.23
SALAMANCA,"4. MARIO DESBORDES JIMENEZ",137,12.44
SALAMANCA,"5. GABRIEL BORIC FONT",986,56.47
SALAMANCA,"6. DANIEL JADUE JADUE",760,43.53
"SAGRADA FAMILIA","1. JOAQUIN LAVIN INFANTE",350,32.17
"SAGRADA FAMILIA","2. IGNACIO BRIONES ROJAS",90,8.27
"SAGRADA FAMILIA","3. SEBASTIAN SICHEL RAMIREZ",539,49.54
"SAGRADA FAMILIA","4. MARIO DESBORDES JIMENEZ",109,10.02
"SAGRADA FAMILIA","5. GABRIEL BORIC FONT",681,71.76
"SAGRADA FAMILIA","6. DANIEL JADUE JADUE",268,28.24
SAAVEDRA,"1. JOAQUIN LAVIN INFANTE",172,31.56
SAAVEDRA,"2. IGNACIO BRIONES ROJAS",34,6.24
SAAVEDRA,"3. SEBASTIAN SICHEL RAMIREZ",266,48.81
SAAVEDRA,"4. MARIO DESBORDES JIMENEZ",73,13.39
SAAVEDRA,"5. GABRIEL BORIC FONT",257,52.77
SAAVEDRA,"6. DANIEL JADUE JADUE",230,47.23
ROMERAL,"1. JOAQUIN LAVIN INFANTE",346,27.66
ROMERAL,"2. IGNACIO BRIONES ROJAS",117,9.35
ROMERAL,"3. SEBASTIAN SICHEL RAMIREZ",624,49.88
ROMERAL,"4. MARIO DESBORDES JIMENEZ",164,13.11
ROMERAL,"5. GABRIEL BORIC FONT",615,69.65
ROMERAL,"6. DANIEL JADUE JADUE",268,30.35
"RIO VERDE","1. JOAQUIN LAVIN INFANTE",19,40.43
"RIO VERDE","2. IGNACIO BRIONES ROJAS",9,19.15
"RIO VERDE","3. SEBASTIAN SICHEL RAMIREZ",16,34.04
"RIO VERDE","4. MARIO DESBORDES JIMENEZ",3,6.38
"RIO VERDE","5. GABRIEL BORIC FONT",8,61.54
"RIO VERDE","6. DANIEL JADUE JADUE",5,38.46
"RIO NEGRO","1. JOAQUIN LAVIN INFANTE",290,29.38
"RIO NEGRO","2. IGNACIO BRIONES ROJAS",57,5.78
"RIO NEGRO","3. SEBASTIAN SICHEL RAMIREZ",552,55.93
"RIO NEGRO","4. MARIO DESBORDES JIMENEZ",88,8.92
"RIO NEGRO","5. GABRIEL BORIC FONT",423,61.48
"RIO NEGRO","6. DANIEL JADUE JADUE",265,38.52
"RIO IBAÑEZ","1. JOAQUIN LAVIN INFANTE",106,49.3
"RIO IBAÑEZ","2. IGNACIO BRIONES ROJAS",10,4.65
"RIO IBAÑEZ","3. SEBASTIAN SICHEL RAMIREZ",73,33.95
"RIO IBAÑEZ","4. MARIO DESBORDES JIMENEZ",26,12.09
"RIO IBAÑEZ","5. GABRIEL BORIC FONT",103,65.19
"RIO IBAÑEZ","6. DANIEL JADUE JADUE",55,34.81
"RIO HURTADO","1. JOAQUIN LAVIN INFANTE",78,36.62
"RIO HURTADO","2. IGNACIO BRIONES ROJAS",14,6.57
"RIO HURTADO","3. SEBASTIAN SICHEL RAMIREZ",92,43.19
"RIO HURTADO","4. MARIO DESBORDES JIMENEZ",29,13.62
"RIO HURTADO","5. GABRIEL BORIC FONT",113,58.85
"RIO HURTADO","6. DANIEL JADUE JADUE",79,41.15
"RIO CLARO","1. JOAQUIN LAVIN INFANTE",213,21.98
"RIO CLARO","2. IGNACIO BRIONES ROJAS",64,6.6
"RIO CLARO","3. SEBASTIAN SICHEL RAMIREZ",370,38.18
"RIO CLARO","4. MARIO DESBORDES JIMENEZ",322,33.23
"RIO CLARO","5. GABRIEL BORIC FONT",438,65.77
"RIO CLARO","6. DANIEL JADUE JADUE",228,34.23
"RIO BUENO","1. JOAQUIN LAVIN INFANTE",834,34.01
"RIO BUENO","2. IGNACIO BRIONES ROJAS",163,6.65
"RIO BUENO","3. SEBASTIAN SICHEL RAMIREZ",1174,47.88
"RIO BUENO","4. MARIO DESBORDES JIMENEZ",281,11.46
"RIO BUENO","5. GABRIEL BORIC FONT",951,61.83
"RIO BUENO","6. DANIEL JADUE JADUE",587,38.17
RINCONADA,"1. JOAQUIN LAVIN INFANTE",241,26.34
RINCONADA,"2. IGNACIO BRIONES ROJAS",101,11.04
RINCONADA,"3. SEBASTIAN SICHEL RAMIREZ",504,55.08
RINCONADA,"4. MARIO DESBORDES JIMENEZ",69,7.54
RINCONADA,"5. GABRIEL BORIC FONT",596,64.36
RINCONADA,"6. DANIEL JADUE JADUE",330,35.64
RETIRO,"1. JOAQUIN LAVIN INFANTE",436,37.01
RETIRO,"2. IGNACIO BRIONES ROJAS",70,5.94
RETIRO,"3. SEBASTIAN SICHEL RAMIREZ",433,36.76
RETIRO,"4. MARIO DESBORDES JIMENEZ",239,20.29
RETIRO,"5. GABRIEL BORIC FONT",400,62.7
RETIRO,"6. DANIEL JADUE JADUE",238,37.3
REQUINOA,"1. JOAQUIN LAVIN INFANTE",645,25.82
REQUINOA,"2. IGNACIO BRIONES ROJAS",187,7.49
REQUINOA,"3. SEBASTIAN SICHEL RAMIREZ",1481,59.29
REQUINOA,"4. MARIO DESBORDES JIMENEZ",185,7.41
REQUINOA,"5. GABRIEL BORIC FONT",1370,70.01
REQUINOA,"6. DANIEL JADUE JADUE",587,29.99
RENGO,"1. JOAQUIN LAVIN INFANTE",931,25.37
RENGO,"2. IGNACIO BRIONES ROJAS",291,7.93
RENGO,"3. SEBASTIAN SICHEL RAMIREZ",2124,57.89
RENGO,"4. MARIO DESBORDES JIMENEZ",323,8.8
RENGO,"5. GABRIEL BORIC FONT",2987,62.58
RENGO,"6. DANIEL JADUE JADUE",1786,37.42
RENCA,"1. JOAQUIN LAVIN INFANTE",2364,31.89
RENCA,"2. IGNACIO BRIONES ROJAS",563,7.59
RENCA,"3. SEBASTIAN SICHEL RAMIREZ",3714,50.1
RENCA,"4. MARIO DESBORDES JIMENEZ",772,10.41
RENCA,"5. GABRIEL BORIC FONT",7424,46.74
RENCA,"6. DANIEL JADUE JADUE",8460,53.26
RENAICO,"1. JOAQUIN LAVIN INFANTE",261,35.85
RENAICO,"2. IGNACIO BRIONES ROJAS",44,6.04
RENAICO,"3. SEBASTIAN SICHEL RAMIREZ",336,46.15
RENAICO,"4. MARIO DESBORDES JIMENEZ",87,11.95
RENAICO,"5. GABRIEL BORIC FONT",360,73.17
RENAICO,"6. DANIEL JADUE JADUE",132,26.83
RECOLETA,"1. JOAQUIN LAVIN INFANTE",3917,37.24
RECOLETA,"2. IGNACIO BRIONES ROJAS",746,7.09
RECOLETA,"3. SEBASTIAN SICHEL RAMIREZ",4880,46.4
RECOLETA,"4. MARIO DESBORDES JIMENEZ",974,9.26
RECOLETA,"5. GABRIEL BORIC FONT",12112,44.41
RECOLETA,"6. DANIEL JADUE JADUE",15162,55.59
RAUCO,"1. JOAQUIN LAVIN INFANTE",236,32.82
RAUCO,"2. IGNACIO BRIONES ROJAS",71,9.87
RAUCO,"3. SEBASTIAN SICHEL RAMIREZ",322,44.78
RAUCO,"4. MARIO DESBORDES JIMENEZ",90,12.52
RAUCO,"5. GABRIEL BORIC FONT",371,66.37
RAUCO,"6. DANIEL JADUE JADUE",188,33.63
RANQUIL,"1. JOAQUIN LAVIN INFANTE",205,39.35
RANQUIL,"2. IGNACIO BRIONES ROJAS",26,4.99
RANQUIL,"3. SEBASTIAN SICHEL RAMIREZ",232,44.53
RANQUIL,"4. MARIO DESBORDES JIMENEZ",58,11.13
RANQUIL,"5. GABRIEL BORIC FONT",222,67.68
RANQUIL,"6. DANIEL JADUE JADUE",106,32.32
RANCAGUA,"1. JOAQUIN LAVIN INFANTE",4281,25.52
RANCAGUA,"2. IGNACIO BRIONES ROJAS",1281,7.64
RANCAGUA,"3. SEBASTIAN SICHEL RAMIREZ",9693,57.78
RANCAGUA,"4. MARIO DESBORDES JIMENEZ",1520,9.06
RANCAGUA,"5. GABRIEL BORIC FONT",15441,65.04
RANCAGUA,"6. DANIEL JADUE JADUE",8298,34.96
QUIRIHUE,"1. JOAQUIN LAVIN INFANTE",269,43.74
QUIRIHUE,"2. IGNACIO BRIONES ROJAS",47,7.64
QUIRIHUE,"3. SEBASTIAN SICHEL RAMIREZ",240,39.02
QUIRIHUE,"4. MARIO DESBORDES JIMENEZ",59,9.59
QUIRIHUE,"5. GABRIEL BORIC FONT",379,65.68
QUIRIHUE,"6. DANIEL JADUE JADUE",198,34.32
QUINTERO,"1. JOAQUIN LAVIN INFANTE",517,29.58
QUINTERO,"2. IGNACIO BRIONES ROJAS",138,7.89
QUINTERO,"3. SEBASTIAN SICHEL RAMIREZ",877,50.17
QUINTERO,"4. MARIO DESBORDES JIMENEZ",216,12.36
QUINTERO,"5. GABRIEL BORIC FONT",1577,61.17
QUINTERO,"6. DANIEL JADUE JADUE",1001,38.83
"QUINTA NORMAL","1. JOAQUIN LAVIN INFANTE",2749,35.32
"QUINTA NORMAL","2. IGNACIO BRIONES ROJAS",597,7.67
"QUINTA NORMAL","3. SEBASTIAN SICHEL RAMIREZ",3536,45.43
"QUINTA NORMAL","4. MARIO DESBORDES JIMENEZ",902,11.59
"QUINTA NORMAL","5. GABRIEL BORIC FONT",8077,50.62
"QUINTA NORMAL","6. DANIEL JADUE JADUE",7880,49.38
"QUINTA DE TILCOCO","1. JOAQUIN LAVIN INFANTE",276,27.71
"QUINTA DE TILCOCO","2. IGNACIO BRIONES ROJAS",48,4.82
"QUINTA DE TILCOCO","3. SEBASTIAN SICHEL RAMIREZ",578,58.03
"QUINTA DE TILCOCO","4. MARIO DESBORDES JIMENEZ",94,9.44
"QUINTA DE TILCOCO","5. GABRIEL BORIC FONT",662,59.96
"QUINTA DE TILCOCO","6. DANIEL JADUE JADUE",442,40.04
QUINCHAO,"1. JOAQUIN LAVIN INFANTE",88,42.31
QUINCHAO,"2. IGNACIO BRIONES ROJAS",24,11.54
QUINCHAO,"3. SEBASTIAN SICHEL RAMIREZ",76,36.54
QUINCHAO,"4. MARIO DESBORDES JIMENEZ",20,9.62
QUINCHAO,"5. GABRIEL BORIC FONT",249,56.08
QUINCHAO,"6. DANIEL JADUE JADUE",195,43.92
QUILPUE,"1. JOAQUIN LAVIN INFANTE",3213,26.5
QUILPUE,"2. IGNACIO BRIONES ROJAS",1018,8.4
QUILPUE,"3. SEBASTIAN SICHEL RAMIREZ",6255,51.59
QUILPUE,"4. MARIO DESBORDES JIMENEZ",1638,13.51
QUILPUE,"5. GABRIEL BORIC FONT",12124,63.96
QUILPUE,"6. DANIEL JADUE JADUE",6831,36.04
QUILLOTA,"1. JOAQUIN LAVIN INFANTE",1558,24.02
QUILLOTA,"2. IGNACIO BRIONES ROJAS",498,7.68
QUILLOTA,"3. SEBASTIAN SICHEL RAMIREZ",3687,56.84
QUILLOTA,"4. MARIO DESBORDES JIMENEZ",744,11.47
QUILLOTA,"5. GABRIEL BORIC FONT",5261,63.44
QUILLOTA,"6. DANIEL JADUE JADUE",3032,36.56
QUILLON,"1. JOAQUIN LAVIN INFANTE",559,41.22
QUILLON,"2. IGNACIO BRIONES ROJAS",74,5.46
QUILLON,"3. SEBASTIAN SICHEL RAMIREZ",534,39.38
QUILLON,"4. MARIO DESBORDES JIMENEZ",189,13.94
QUILLON,"5. GABRIEL BORIC FONT",597,70.9
QUILLON,"6. DANIEL JADUE JADUE",245,29.1
QUILLECO,"1. JOAQUIN LAVIN INFANTE",175,36.92
QUILLECO,"2. IGNACIO BRIONES ROJAS",16,3.38
QUILLECO,"3. SEBASTIAN SICHEL RAMIREZ",189,39.87
QUILLECO,"4. MARIO DESBORDES JIMENEZ",94,19.83
QUILLECO,"5. GABRIEL BORIC FONT",278,72.97
QUILLECO,"6. DANIEL JADUE JADUE",103,27.03
QUILICURA,"1. JOAQUIN LAVIN INFANTE",3268,28.95
QUILICURA,"2. IGNACIO BRIONES ROJAS",786,6.96
QUILICURA,"3. SEBASTIAN SICHEL RAMIREZ",6041,53.52
QUILICURA,"4. MARIO DESBORDES JIMENEZ",1192,10.56
QUILICURA,"5. GABRIEL BORIC FONT",13159,55.5
QUILICURA,"6. DANIEL JADUE JADUE",10550,44.5
QUILACO,"1. JOAQUIN LAVIN INFANTE",113,37.54
QUILACO,"2. IGNACIO BRIONES ROJAS",14,4.65
QUILACO,"3. SEBASTIAN SICHEL RAMIREZ",141,46.84
QUILACO,"4. MARIO DESBORDES JIMENEZ",33,10.96
QUILACO,"5. GABRIEL BORIC FONT",115,64.25
QUILACO,"6. DANIEL JADUE JADUE",64,35.75
QUEMCHI,"1. JOAQUIN LAVIN INFANTE",122,42.07
QUEMCHI,"2. IGNACIO BRIONES ROJAS",20,6.9
QUEMCHI,"3. SEBASTIAN SICHEL RAMIREZ",102,35.17
QUEMCHI,"4. MARIO DESBORDES JIMENEZ",46,15.86
QUEMCHI,"5. GABRIEL BORIC FONT",170,51.2
QUEMCHI,"6. DANIEL JADUE JADUE",162,48.8
QUELLON,"1. JOAQUIN LAVIN INFANTE",230,28.75
QUELLON,"2. IGNACIO BRIONES ROJAS",68,8.5
QUELLON,"3. SEBASTIAN SICHEL RAMIREZ",386,48.25
QUELLON,"4. MARIO DESBORDES JIMENEZ",116,14.5
QUELLON,"5. GABRIEL BORIC FONT",775,54.69
QUELLON,"6. DANIEL JADUE JADUE",642,45.31
QUEILEN,"1. JOAQUIN LAVIN INFANTE",52,28.57
QUEILEN,"2. IGNACIO BRIONES ROJAS",8,4.4
QUEILEN,"3. SEBASTIAN SICHEL RAMIREZ",101,55.49
QUEILEN,"4. MARIO DESBORDES JIMENEZ",21,11.54
QUEILEN,"5. GABRIEL BORIC FONT",167,54.4
QUEILEN,"6. DANIEL JADUE JADUE",140,45.6
PUYEHUE,"1. JOAQUIN LAVIN INFANTE",266,37.95
PUYEHUE,"2. IGNACIO BRIONES ROJAS",44,6.28
PUYEHUE,"3. SEBASTIAN SICHEL RAMIREZ",330,47.08
PUYEHUE,"4. MARIO DESBORDES JIMENEZ",61,8.7
PUYEHUE,"5. GABRIEL BORIC FONT",308,56.83
PUYEHUE,"6. DANIEL JADUE JADUE",234,43.17
PUTRE,"1. JOAQUIN LAVIN INFANTE",41,51.25
PUTRE,"2. IGNACIO BRIONES ROJAS",6,7.5
PUTRE,"3. SEBASTIAN SICHEL RAMIREZ",16,20
PUTRE,"4. MARIO DESBORDES JIMENEZ",17,21.25
PUTRE,"5. GABRIEL BORIC FONT",21,47.73
PUTRE,"6. DANIEL JADUE JADUE",23,52.27
PUTAENDO,"1. JOAQUIN LAVIN INFANTE",174,22.86
PUTAENDO,"2. IGNACIO BRIONES ROJAS",52,6.83
PUTAENDO,"3. SEBASTIAN SICHEL RAMIREZ",467,61.37
PUTAENDO,"4. MARIO DESBORDES JIMENEZ",68,8.94
PUTAENDO,"5. GABRIEL BORIC FONT",768,56.51
PUTAENDO,"6. DANIEL JADUE JADUE",591,43.49
PURRANQUE,"1. JOAQUIN LAVIN INFANTE",512,34.57
PURRANQUE,"2. IGNACIO BRIONES ROJAS",96,6.48
PURRANQUE,"3. SEBASTIAN SICHEL RAMIREZ",741,50.03
PURRANQUE,"4. MARIO DESBORDES JIMENEZ",132,8.91
PURRANQUE,"5. GABRIEL BORIC FONT",657,61.34
PURRANQUE,"6. DANIEL JADUE JADUE",414,38.66
PUREN,"1. JOAQUIN LAVIN INFANTE",318,35.18
PUREN,"2. IGNACIO BRIONES ROJAS",47,5.2
PUREN,"3. SEBASTIAN SICHEL RAMIREZ",449,49.67
PUREN,"4. MARIO DESBORDES JIMENEZ",90,9.96
PUREN,"5. GABRIEL BORIC FONT",356,64.03
PUREN,"6. DANIEL JADUE JADUE",200,35.97
PUQUELDON,"1. JOAQUIN LAVIN INFANTE",24,30
PUQUELDON,"2. IGNACIO BRIONES ROJAS",6,7.5
PUQUELDON,"3. SEBASTIAN SICHEL RAMIREZ",38,47.5
PUQUELDON,"4. MARIO DESBORDES JIMENEZ",12,15
PUQUELDON,"5. GABRIEL BORIC FONT",101,53.72
PUQUELDON,"6. DANIEL JADUE JADUE",87,46.28
"PUNTA ARENAS","1. JOAQUIN LAVIN INFANTE",2338,29.35
"PUNTA ARENAS","2. IGNACIO BRIONES ROJAS",765,9.6
"PUNTA ARENAS","3. SEBASTIAN SICHEL RAMIREZ",3509,44.05
"PUNTA ARENAS","4. MARIO DESBORDES JIMENEZ",1354,17
"PUNTA ARENAS","5. GABRIEL BORIC FONT",11924,76.9
"PUNTA ARENAS","6. DANIEL JADUE JADUE",3581,23.1
PUNITAQUI,"1. JOAQUIN LAVIN INFANTE",127,40.45
PUNITAQUI,"2. IGNACIO BRIONES ROJAS",21,6.69
PUNITAQUI,"3. SEBASTIAN SICHEL RAMIREZ",140,44.59
PUNITAQUI,"4. MARIO DESBORDES JIMENEZ",26,8.28
PUNITAQUI,"5. GABRIEL BORIC FONT",440,62.59
PUNITAQUI,"6. DANIEL JADUE JADUE",263,37.41
PUMANQUE,"1. JOAQUIN LAVIN INFANTE",106,26.57
PUMANQUE,"2. IGNACIO BRIONES ROJAS",22,5.51
PUMANQUE,"3. SEBASTIAN SICHEL RAMIREZ",252,63.16
PUMANQUE,"4. MARIO DESBORDES JIMENEZ",19,4.76
PUMANQUE,"5. GABRIEL BORIC FONT",142,59.17
PUMANQUE,"6. DANIEL JADUE JADUE",98,40.83
"PUERTO VARAS","1. JOAQUIN LAVIN INFANTE",1350,25.12
"PUERTO VARAS","2. IGNACIO BRIONES ROJAS",797,14.83
"PUERTO VARAS","3. SEBASTIAN SICHEL RAMIREZ",2905,54.05
"PUERTO VARAS","4. MARIO DESBORDES JIMENEZ",323,6.01
"PUERTO VARAS","5. GABRIEL BORIC FONT",2904,72.95
"PUERTO VARAS","6. DANIEL JADUE JADUE",1077,27.05
"PUERTO OCTAY","1. JOAQUIN LAVIN INFANTE",251,45.89
"PUERTO OCTAY","2. IGNACIO BRIONES ROJAS",39,7.13
"PUERTO OCTAY","3. SEBASTIAN SICHEL RAMIREZ",217,39.67
"PUERTO OCTAY","4. MARIO DESBORDES JIMENEZ",40,7.31
"PUERTO OCTAY","5. GABRIEL BORIC FONT",255,56.79
"PUERTO OCTAY","6. DANIEL JADUE JADUE",194,43.21
"PUERTO MONTT","1. JOAQUIN LAVIN INFANTE",3962,27.54
"PUERTO MONTT","2. IGNACIO BRIONES ROJAS",1171,8.14
"PUERTO MONTT","3. SEBASTIAN SICHEL RAMIREZ",7621,52.97
"PUERTO MONTT","4. MARIO DESBORDES JIMENEZ",1633,11.35
"PUERTO MONTT","5. GABRIEL BORIC FONT",11999,66.38
"PUERTO MONTT","6. DANIEL JADUE JADUE",6076,33.62
"PUENTE ALTO","1. JOAQUIN LAVIN INFANTE",7269,24.94
"PUENTE ALTO","2. IGNACIO BRIONES ROJAS",2116,7.26
"PUENTE ALTO","3. SEBASTIAN SICHEL RAMIREZ",16372,56.17
"PUENTE ALTO","4. MARIO DESBORDES JIMENEZ",3391,11.63
"PUENTE ALTO","5. GABRIEL BORIC FONT",35246,54.97
"PUENTE ALTO","6. DANIEL JADUE JADUE",28877,45.03
PUDAHUEL,"1. JOAQUIN LAVIN INFANTE",4025,31.18
PUDAHUEL,"2. IGNACIO BRIONES ROJAS",914,7.08
PUDAHUEL,"3. SEBASTIAN SICHEL RAMIREZ",6488,50.26
PUDAHUEL,"4. MARIO DESBORDES JIMENEZ",1483,11.49
PUDAHUEL,"5. GABRIEL BORIC FONT",14554,53.06
PUDAHUEL,"6. DANIEL JADUE JADUE",12877,46.94
PUCON,"1. JOAQUIN LAVIN INFANTE",651,25.55
PUCON,"2. IGNACIO BRIONES ROJAS",246,9.65
PUCON,"3. SEBASTIAN SICHEL RAMIREZ",1430,56.12
PUCON,"4. MARIO DESBORDES JIMENEZ",221,8.67
PUCON,"5. GABRIEL BORIC FONT",1579,61.27
PUCON,"6. DANIEL JADUE JADUE",998,38.73
PUCHUNCAVI,"1. JOAQUIN LAVIN INFANTE",427,26.69
PUCHUNCAVI,"2. IGNACIO BRIONES ROJAS",161,10.06
PUCHUNCAVI,"3. SEBASTIAN SICHEL RAMIREZ",868,54.25
PUCHUNCAVI,"4. MARIO DESBORDES JIMENEZ",144,9
PUCHUNCAVI,"5. GABRIEL BORIC FONT",1138,55.62
PUCHUNCAVI,"6. DANIEL JADUE JADUE",908,44.38
PROVIDENCIA,"1. JOAQUIN LAVIN INFANTE",9627,32.23
PROVIDENCIA,"2. IGNACIO BRIONES ROJAS",5591,18.72
PROVIDENCIA,"3. SEBASTIAN SICHEL RAMIREZ",12729,42.61
PROVIDENCIA,"4. MARIO DESBORDES JIMENEZ",1925,6.44
PROVIDENCIA,"5. GABRIEL BORIC FONT",26216,76.65
PROVIDENCIA,"6. DANIEL JADUE JADUE",7987,23.35
PRIMAVERA,"1. JOAQUIN LAVIN INFANTE",9,29.03
PRIMAVERA,"2. IGNACIO BRIONES ROJAS",4,12.9
PRIMAVERA,"3. SEBASTIAN SICHEL RAMIREZ",16,51.61
PRIMAVERA,"4. MARIO DESBORDES JIMENEZ",2,6.45
PRIMAVERA,"5. GABRIEL BORIC FONT",34,82.93
PRIMAVERA,"6. DANIEL JADUE JADUE",7,17.07
"POZO ALMONTE","1. JOAQUIN LAVIN INFANTE",207,41.57
"POZO ALMONTE","2. IGNACIO BRIONES ROJAS",31,6.22
"POZO ALMONTE","3. SEBASTIAN SICHEL RAMIREZ",179,35.94
"POZO ALMONTE","4. MARIO DESBORDES JIMENEZ",81,16.27
"POZO ALMONTE","5. GABRIEL BORIC FONT",299,51.73
"POZO ALMONTE","6. DANIEL JADUE JADUE",279,48.27
PORVENIR,"1. JOAQUIN LAVIN INFANTE",62,27.56
PORVENIR,"2. IGNACIO BRIONES ROJAS",30,13.33
PORVENIR,"3. SEBASTIAN SICHEL RAMIREZ",96,42.67
PORVENIR,"4. MARIO DESBORDES JIMENEZ",37,16.44
PORVENIR,"5. GABRIEL BORIC FONT",280,73.11
PORVENIR,"6. DANIEL JADUE JADUE",103,26.89
PORTEZUELO,"1. JOAQUIN LAVIN INFANTE",383,66.26
PORTEZUELO,"2. IGNACIO BRIONES ROJAS",18,3.11
PORTEZUELO,"3. SEBASTIAN SICHEL RAMIREZ",138,23.88
PORTEZUELO,"4. MARIO DESBORDES JIMENEZ",39,6.75
PORTEZUELO,"5. GABRIEL BORIC FONT",173,70.9
PORTEZUELO,"6. DANIEL JADUE JADUE",71,29.1
PLACILLA,"1. JOAQUIN LAVIN INFANTE",213,34.3
PLACILLA,"2. IGNACIO BRIONES ROJAS",50,8.05
PLACILLA,"3. SEBASTIAN SICHEL RAMIREZ",296,47.67
PLACILLA,"4. MARIO DESBORDES JIMENEZ",62,9.98
PLACILLA,"5. GABRIEL BORIC FONT",337,62.99
PLACILLA,"6. DANIEL JADUE JADUE",198,37.01
PITRUFQUEN,"1. JOAQUIN LAVIN INFANTE",664,38.38
PITRUFQUEN,"2. IGNACIO BRIONES ROJAS",105,6.07
PITRUFQUEN,"3. SEBASTIAN SICHEL RAMIREZ",746,43.12
PITRUFQUEN,"4. MARIO DESBORDES JIMENEZ",215,12.43
PITRUFQUEN,"5. GABRIEL BORIC FONT",810,63.28
PITRUFQUEN,"6. DANIEL JADUE JADUE",470,36.72
PIRQUE,"1. JOAQUIN LAVIN INFANTE",880,28.37
PIRQUE,"2. IGNACIO BRIONES ROJAS",391,12.6
PIRQUE,"3. SEBASTIAN SICHEL RAMIREZ",1589,51.23
PIRQUE,"4. MARIO DESBORDES JIMENEZ",242,7.8
PIRQUE,"5. GABRIEL BORIC FONT",2247,62.42
PIRQUE,"6. DANIEL JADUE JADUE",1353,37.58
PINTO,"1. JOAQUIN LAVIN INFANTE",495,41.42
PINTO,"2. IGNACIO BRIONES ROJAS",77,6.44
PINTO,"3. SEBASTIAN SICHEL RAMIREZ",525,43.93
PINTO,"4. MARIO DESBORDES JIMENEZ",98,8.2
PINTO,"5. GABRIEL BORIC FONT",355,67.36
PINTO,"6. DANIEL JADUE JADUE",172,32.64
PICHILEMU,"1. JOAQUIN LAVIN INFANTE",451,27.84
PICHILEMU,"2. IGNACIO BRIONES ROJAS",111,6.85
PICHILEMU,"3. SEBASTIAN SICHEL RAMIREZ",943,58.21
PICHILEMU,"4. MARIO DESBORDES JIMENEZ",115,7.1
PICHILEMU,"5. GABRIEL BORIC FONT",1105,61.66
PICHILEMU,"6. DANIEL JADUE JADUE",687,38.34
PICHIDEGUA,"1. JOAQUIN LAVIN INFANTE",298,28.9
PICHIDEGUA,"2. IGNACIO BRIONES ROJAS",51,4.95
PICHIDEGUA,"3. SEBASTIAN SICHEL RAMIREZ",630,61.11
PICHIDEGUA,"4. MARIO DESBORDES JIMENEZ",52,5.04
PICHIDEGUA,"5. GABRIEL BORIC FONT",705,67.02
PICHIDEGUA,"6. DANIEL JADUE JADUE",347,32.98
PICA,"1. JOAQUIN LAVIN INFANTE",176,44.33
PICA,"2. IGNACIO BRIONES ROJAS",17,4.28
PICA,"3. SEBASTIAN SICHEL RAMIREZ",175,44.08
PICA,"4. MARIO DESBORDES JIMENEZ",29,7.3
PICA,"5. GABRIEL BORIC FONT",175,48.75
PICA,"6. DANIEL JADUE JADUE",184,51.25
"PEÑALOLEN","1. JOAQUIN LAVIN INFANTE",6091,31.86
"PEÑALOLEN","2. IGNACIO BRIONES ROJAS",2037,10.65
"PEÑALOLEN","3. SEBASTIAN SICHEL RAMIREZ",9374,49.03
"PEÑALOLEN","4. MARIO DESBORDES JIMENEZ",1618,8.46
"PEÑALOLEN","5. GABRIEL BORIC FONT",19311,61.08
"PEÑALOLEN","6. DANIEL JADUE JADUE",12305,38.92
"PEÑAFLOR","1. JOAQUIN LAVIN INFANTE",1864,29.25
"PEÑAFLOR","2. IGNACIO BRIONES ROJAS",495,7.77
"PEÑAFLOR","3. SEBASTIAN SICHEL RAMIREZ",3354,52.63
"PEÑAFLOR","4. MARIO DESBORDES JIMENEZ",660,10.36
"PEÑAFLOR","5. GABRIEL BORIC FONT",6726,58.34
"PEÑAFLOR","6. DANIEL JADUE JADUE",4802,41.66
PEUMO,"1. JOAQUIN LAVIN INFANTE",229,28.03
PEUMO,"2. IGNACIO BRIONES ROJAS",60,7.34
PEUMO,"3. SEBASTIAN SICHEL RAMIREZ",444,54.35
PEUMO,"4. MARIO DESBORDES JIMENEZ",84,10.28
PEUMO,"5. GABRIEL BORIC FONT",654,58.81
PEUMO,"6. DANIEL JADUE JADUE",458,41.19
