comuna,candidato,votos,porcentaje
VICTORIA,"2. IGNACIO BRIONES ROJAS",205,6.75
VICTORIA,"3. SEBASTIAN SICHEL RAMIREZ",1564,51.48
VICTORIA,"4. MARIO DESBORDES JIMENEZ",351,11.55
VICTORIA,"5. GABRIEL BORIC FONT",1115,70.66
VICTORIA,"6. DANIEL JADUE JADUE",463,29.34
VICHUQUEN,"1. JOAQUIN LAVIN INFANTE",177,23.89
VICHUQUEN,"2. IGNACIO BRIONES ROJAS",40,5.4
VICHUQUEN,"3. SEBASTIAN SICHEL RAMIREZ",480,64.78
VICHUQUEN,"4. MARIO DESBORDES JIMENEZ",44,5.94
VICHUQUEN,"5. GABRIEL BORIC FONT",207,63.5
VICHUQUEN,"6. DANIEL JADUE JADUE",119,36.5
VALPARAISO,"1. JOAQUIN LAVIN INFANTE",5178,28.3
VALPARAISO,"2. IGNACIO BRIONES ROJAS",1637,8.95
VALPARAISO,"3. SEBASTIAN SICHEL RAMIREZ",8876,48.52
VALPARAISO,"4. MARIO DESBORDES JIMENEZ",2604,14.23
VALPARAISO,"5. GABRIEL BORIC FONT",20329,50.86
VALPARAISO,"6. DANIEL JADUE JADUE",19639,49.14
VALLENAR,"1. JOAQUIN LAVIN INFANTE",549,32.05
VALLENAR,"2. IGNACIO BRIONES ROJAS",166,9.69
VALLENAR,"3. SEBASTIAN SICHEL RAMIREZ",839,48.98
VALLENAR,"4. MARIO DESBORDES JIMENEZ",159,9.28
VALLENAR,"5. GABRIEL BORIC FONT",1634,53.16
VALLENAR,"6. DANIEL JADUE JADUE",1440,46.84
VALDIVIA,"1. JOAQUIN LAVIN INFANTE",2920,25.48
VALDIVIA,"2. IGNACIO BRIONES ROJAS",1230,10.73
VALDIVIA,"3. SEBASTIAN SICHEL RAMIREZ",5934,51.77
VALDIVIA,"4. MARIO DESBORDES JIMENEZ",1378,12.02
VALDIVIA,"5. GABRIEL BORIC FONT",11160,62.71
VALDIVIA,"6. DANIEL JADUE JADUE",6637,37.29
TUCAPEL,"1. JOAQUIN LAVIN INFANTE",290,30.21
TUCAPEL,"2. IGNACIO BRIONES ROJAS",60,6.25
TUCAPEL,"3. SEBASTIAN SICHEL RAMIREZ",463,48.23
TUCAPEL,"4. MARIO DESBORDES JIMENEZ",147,15.31
TUCAPEL,"5. GABRIEL BORIC FONT",520,68.69
TUCAPEL,"6. DANIEL JADUE JADUE",237,31.31
TREHUACO,"1. JOAQUIN LAVIN INFANTE",170,45.45
TREHUACO,"2. IGNACIO BRIONES ROJAS",20,5.35
TREHUACO,"3. SEBASTIAN SICHEL RAMIREZ",159,42.51
TREHUACO,"4. MARIO DESBORDES JIMENEZ",25,6.68
TREHUACO,"5. GABRIEL BORIC FONT",165,70.21
TREHUACO,"6. DANIEL JADUE JADUE",70,29.79
TRAIGUEN,"1. JOAQUIN LAVIN INFANTE",426,27.9
TRAIGUEN,"2. IGNACIO BRIONES ROJAS",87,5.7
TRAIGUEN,"3. SEBASTIAN SICHEL RAMIREZ",858,56.19
TRAIGUEN,"4. MARIO DESBORDES JIMENEZ",156,10.22
TRAIGUEN,"5. GABRIEL BORIC FONT",520,61.68
TRAIGUEN,"6. DANIEL JADUE JADUE",323,38.32
TORTEL,"1. JOAQUIN LAVIN INFANTE",10,45.45
TORTEL,"2. IGNACIO BRIONES ROJAS",5,22.73
TORTEL,"3. SEBASTIAN SICHEL RAMIREZ",2,9.09
TORTEL,"4. MARIO DESBORDES JIMENEZ",5,22.73
TORTEL,"5. GABRIEL BORIC FONT",12,42.86
TORTEL,"6. DANIEL JADUE JADUE",16,57.14
"TORRES DEL PAINE","1. JOAQUIN LAVIN INFANTE",10,33.33
"TORRES DEL PAINE","2. IGNACIO BRIONES ROJAS",2,6.67
"TORRES DEL PAINE","3. SEBASTIAN SICHEL RAMIREZ",16,53.33
"TORRES DEL PAINE","4. MARIO DESBORDES JIMENEZ",2,6.67
"TORRES DEL PAINE","5. GABRIEL BORIC FONT",29,69.05
"TORRES DEL PAINE","6. DANIEL JADUE JADUE",13,30.95
TOME,"1. JOAQUIN LAVIN INFANTE",1063,33.44
TOME,"2. IGNACIO BRIONES ROJAS",220,6.92
TOME,"3. SEBASTIAN SICHEL RAMIREZ",1483,46.65
TOME,"4. MARIO DESBORDES JIMENEZ",413,12.99
TOME,"5. GABRIEL BORIC FONT",2775,62.7
TOME,"6. DANIEL JADUE JADUE",1651,37.3
TOLTEN,"1. JOAQUIN LAVIN INFANTE",269,33.71
TOLTEN,"2. IGNACIO BRIONES ROJAS",36,4.51
TOLTEN,"3. SEBASTIAN SICHEL RAMIREZ",430,53.88
TOLTEN,"4. MARIO DESBORDES JIMENEZ",63,7.89
TOLTEN,"5. GABRIEL BORIC FONT",253,67.11
TOLTEN,"6. DANIEL JADUE JADUE",124,32.89
TOCOPILLA,"1. JOAQUIN LAVIN INFANTE",316,43.47
TOCOPILLA,"2. IGNACIO BRIONES ROJAS",57,7.84
TOCOPILLA,"3. SEBASTIAN SICHEL RAMIREZ",298,40.99
TOCOPILLA,"4. MARIO DESBORDES JIMENEZ",56,7.7
TOCOPILLA,"5. GABRIEL BORIC FONT",614,44.78
TOCOPILLA,"6. DANIEL JADUE JADUE",757,55.22
TIRUA,"1. JOAQUIN LAVIN INFANTE",227,52.18
